Country,ISO,Sex,Year,Mean_BMI_children,Prevalence_obesity_children,Prevalence_overweight_children,Prevalence_underweight_children,Mean_BMI_adults,Prevalence_obesity_adults,Prevalence_underweight_adults,Prevalence_morbid_obesity_adults,Diabetes_prevalence,Systolic_blood_pressure,Prevalence_raised_blood_pressure,Region,Superregion,Years_of_education,Urbanisation,Western_diet_score,GDP_USD
Afghanistan,AFG,Female,1975,16.09723766,0.000226235,0.00495169,0.524624215,18.8443262,0.008172431,0.298330107,3.75E-05,NA,118.9097667,0.232129293,South Asia,South Asia,0.4635,0.136,-0.737940985,1037.958496
Afghanistan,AFG,Male,1975,15.04556521,0.000517223,0.003053186,0.701622296,18.99944015,0.002077545,0.284239043,7.88E-06,NA,121.078635,0.251040659,South Asia,South Asia,0.4635,0.136,-0.737940985,1037.958496
Afghanistan,AFG,Female,1976,16.14110802,0.000252629,0.005339652,0.521859848,18.98641739,0.008708796,0.295401583,4.25E-05,NA,119.1123318,0.234490405,South Asia,South Asia,0.485,0.1402,-0.742444439,1027.958862
Afghanistan,AFG,Male,1976,15.08489225,0.000560436,0.003318636,0.698587416,19.10551823,0.002236829,0.281989591,8.56E-06,NA,121.2131347,0.252481922,South Asia,South Asia,0.485,0.1402,-0.742444439,1027.958862
Afghanistan,AFG,Female,1977,16.18495352,0.000283584,0.005764956,0.519101863,19.12808565,0.009284617,0.292423429,4.83E-05,NA,119.3123799,0.236886573,South Asia,South Asia,0.5075,0.1444,-0.729039151,1019.959167
Afghanistan,AFG,Male,1977,15.12378701,0.00061145,0.003619142,0.695497055,19.21208022,0.002410114,0.279693891,9.38E-06,NA,121.3522212,0.254044186,South Asia,South Asia,0.5075,0.1444,-0.729039151,1019.959167
Afghanistan,AFG,Female,1978,16.22887604,0.000319868,0.006230396,0.516342405,19.26924674,0.009900144,0.289392402,5.51E-05,NA,119.5112537,0.239349427,South Asia,South Asia,0.5305,0.1486,-0.717838893,1016.95929
Afghanistan,AFG,Male,1978,15.16272368,0.00067131,0.00395633,0.692352731,19.31905253,0.002598674,0.277335914,1.03E-05,NA,121.49343,0.255709456,South Asia,South Asia,0.5305,0.1486,-0.717838893,1016.95929
Afghanistan,AFG,Female,1979,16.27307877,0.000362459,0.006738302,0.513586058,19.40947655,0.010555967,0.286322998,6.29E-05,NA,119.7092018,0.241853197,South Asia,South Asia,0.5545,0.1528,-0.705558525,1022.959106
Afghanistan,AFG,Male,1979,15.20245229,0.000740409,0.004333871,0.689127912,19.4259518,0.002803615,0.274931335,1.15E-05,NA,121.6366015,0.257459142,South Asia,South Asia,0.5545,0.1528,-0.705558525,1022.959106
Afghanistan,AFG,Female,1980,16.31782868,0.000412008,0.007291074,0.510804508,19.54923079,0.011253738,0.283217203,7.18E-05,0.053746322,119.8995031,0.244302554,South Asia,South Asia,0.579,0.157,-0.694551313,1038.958496
Afghanistan,AFG,Male,1980,15.24200842,0.00081977,0.004754663,0.685835541,19.53292264,0.003026073,0.27249428,1.28E-05,0.04471234,121.7799779,0.259258959,South Asia,South Asia,0.579,0.157,-0.694551313,1038.958496
Afghanistan,AFG,Female,1981,16.3624965,0.000468539,0.007881835,0.508050682,19.68704034,0.011983753,0.280092186,8.19E-05,0.054995928,120.081915,0.246690527,South Asia,South Asia,0.6045,0.1596,-0.677346399,1066.957397
Afghanistan,AFG,Male,1981,15.28150518,0.000907731,0.005214395,0.682531542,19.63799768,0.003263622,0.270042524,1.43E-05,0.046114253,121.9248419,0.261066611,South Asia,South Asia,0.6045,0.1596,-0.677346399,1066.957397
Afghanistan,AFG,Female,1982,16.40736863,0.000533194,0.008516183,0.505305536,19.82315195,0.012748071,0.276943831,9.35E-05,0.05630538,120.2593567,0.249009078,South Asia,South Asia,0.6305,0.1622,-0.653033935,1105.955933
Afghanistan,AFG,Male,1982,15.32081794,0.001006815,0.005720082,0.679196798,19.74166976,0.00351722,0.267567367,1.60E-05,0.047601356,122.0733457,0.262911795,South Asia,South Asia,0.6305,0.1622,-0.653033935,1105.955933
Afghanistan,AFG,Female,1983,16.45250369,0.000607139,0.009197801,0.502569048,19.95777359,0.013550012,0.273767679,0.000106602,0.057679907,120.4311931,0.251288787,South Asia,South Asia,0.6575,0.1648,-0.626838195,1151.954102
Afghanistan,AFG,Male,1983,15.36019396,0.001118646,0.006274827,0.67582614,19.843253,0.003787228,0.265086295,1.80E-05,0.049172768,122.2248225,0.264801692,South Asia,South Asia,0.6575,0.1648,-0.626838195,1151.954102
Afghanistan,AFG,Female,1984,16.49774595,0.000691376,0.009928616,0.499854975,20.09116003,0.014391554,0.270573295,0.00012144,0.059114916,120.5986606,0.253548074,South Asia,South Asia,0.685,0.1674,-0.606082656,1201.952148
Afghanistan,AFG,Male,1984,15.39973768,0.00124424,0.006880305,0.672429125,19.94343635,0.00407454,0.262591806,2.02E-05,0.050833834,122.3769559,0.266718923,South Asia,South Asia,0.685,0.1674,-0.606082656,1201.952148
Afghanistan,AFG,Female,1985,16.54363699,0.000787554,0.01070944,0.497145943,20.22304489,0.015273754,0.267398564,0.000138199,0.060612536,120.7623811,0.255721603,South Asia,South Asia,0.7125,0.17,-0.599992566,1247.950317
Afghanistan,AFG,Male,1985,15.43867137,0.001385299,0.007542814,0.668991269,20.04144409,0.00438106,0.260072628,2.28E-05,0.052549921,122.5243289,0.268537181,South Asia,South Asia,0.7125,0.17,-0.599992566,1247.950317
Afghanistan,AFG,Female,1986,16.58984282,0.000896458,0.011548113,0.494438722,20.35376294,0.016199576,0.264201166,0.000157087,0.062165122,120.9238681,0.257775136,South Asia,South Asia,0.7385,0.1726,-0.616157792,1290.948608
